"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Tyrese Martin,Bro,*,F,26.8,23,21,19,12.2,22,0.727,75,0.507,104,0.308,0.48,0.498,8.2,3.3,2.4,0.7,0.1,1.1,11.5,10.6,14,7.7,106.3,118.8"
",Jalen Wilson,Bro,*,F,25.1,18,14.4,16.2,11.2,21,0.762,25,0.4,54,0.333,0.468,0.51,5,1,0.6,0.2,0,0.6,6,5.6,6.6,4,100.2,116.8"
",Drake Powell,Bro,*,G-F,20.3,17,18.2,14.1,20.1,18,0.944,42,0.571,33,0.364,0.56,0.609,5.9,1.6,2,0.8,0.2,1.1,7.6,7.9,9.6,5.9,112.8,113.8"
",Nolan Traore,Bro,*,G,19.5,5,8.8,13.6,15.1,2,0.5,4,0,7,0.286,0.273,0.295,1.4,0.4,1,0.4,0,0.4,1.8,2.4,2.8,3.7,77.6,108.3"
",Kon Knueppel,Cha,*,G-F,20.4,25,33.6,21.8,14.4,59,0.915,137,0.562,213,0.404,0.589,0.62,18.6,5.4,3.5,0.7,0.2,2.4,24.1,22.1,27.6,8.4,117.5,115"
",Miles Bridges,Cha,*,F,27.7,25,34.7,25.2,8.1,118,0.847,237,0.532,192,0.318,0.507,0.556,21.4,6.2,3.7,0.6,0.5,1.5,27.6,25.1,31.3,9.1,117.6,116.2"
",Ryan Kalkbrenner,Cha,*,C,23.9,23,25.8,11,19.7,41,0.756,109,0.807,1,0,0.8,0.808,9,6.7,0.5,0.7,1.8,1.2,15.7,9.5,16.2,4.8,144.2,113.3"
",Brandon Miller,Cha,*,F,23.1,9,27,30.4,12.9,30,0.833,71,0.451,71,0.282,0.437,0.48,16.6,2.8,3.2,0.7,1.2,2.3,19.3,19.8,22.6,7.8,98,113.7"
",LaMelo Ball,Cha,*,G,24.3,16,28.9,32.6,16,65,0.877,140,0.486,137,0.285,0.457,0.507,19.4,6,8.5,1.2,0.2,3.3,25.4,27.9,33.9,13.8,109.6,108.8"
",Collin Sexton,Cha,*,G,26.9,21,25.2,25.2,18.7,91,0.879,154,0.545,71,0.366,0.547,0.615,15.5,2.2,4.2,0.7,0.2,2.5,17.8,19.8,22,8.3,116.9,115.5"
",Sion James,Cha,*,G,23,25,26.1,10.9,15.8,40,0.85,48,0.5,80,0.375,0.539,0.591,6.9,3.1,1.5,0.7,0.4,1,10,8.4,11.5,4.9,115,115.9"
",Moussa Diabate,Cha,*,F,23.9,24,22,13.5,13,71,0.704,120,0.633,0,0,0.633,0.668,8.4,7.6,1.2,0.6,1,0.8,16,9.6,17.2,7.7,145.4,108.3"
